Mon Dec  2 00:40:58 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 565.57.01              Driver Version: 565.57.01      CUDA Version: 12.7     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-SXM2-32GB           On  |   00000000:3A:00.0 Off |                    0 |
| N/A   29C    P0             41W /  300W |       1MiB /  32768MiB |      0%   E. Process |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
cuda
Tesla V100-SXM2-32GB
Epoch: 80	Train loss: 1.504e-03	Val loss: 1.456e-03
Epoch: 81	Train loss: 1.582e-03	Val loss: 1.814e-03
Epoch: 82	Train loss: 1.545e-03	Val loss: 1.755e-03
Epoch: 83	Train loss: 1.437e-03	Val loss: 1.670e-03
Epoch: 84	Train loss: 1.591e-03	Val loss: 1.717e-03
Epoch: 85	Train loss: 1.495e-03	Val loss: 1.245e-03
Epoch: 86	Train loss: 1.454e-03	Val loss: 1.730e-03
Epoch: 87	Train loss: 1.544e-03	Val loss: 2.162e-03
Epoch: 88	Train loss: 1.381e-03	Val loss: 1.561e-03
Epoch: 89	Train loss: 1.526e-03	Val loss: 1.892e-03
Epoch: 90	Train loss: 1.463e-03	Val loss: 2.023e-03
Epoch: 91	Train loss: 1.521e-03	Val loss: 1.485e-03
Epoch: 92	Train loss: 1.486e-03	Val loss: 1.467e-03
Epoch: 93	Train loss: 1.437e-03	Val loss: 1.870e-03
Epoch: 94	Train loss: 1.397e-03	Val loss: 2.375e-03
Epoch: 95	Train loss: 1.465e-03	Val loss: 2.855e-03
Epoch: 96	Train loss: 1.452e-03	Val loss: 1.632e-03
Epoch: 97	Train loss: 1.484e-03	Val loss: 1.826e-03
Epoch: 98	Train loss: 1.304e-03	Val loss: 2.155e-03
Epoch: 99	Train loss: 1.493e-03	Val loss: 1.530e-03
Epoch: 100	Train loss: 1.428e-03	Val loss: 2.379e-03
Epoch: 101	Train loss: 1.354e-03	Val loss: 1.410e-03
Epoch: 102	Train loss: 1.293e-03	Val loss: 1.288e-03
Epoch: 103	Train loss: 1.301e-03	Val loss: 1.412e-03
Epoch: 104	Train loss: 1.447e-03	Val loss: 1.894e-03
Epoch: 105	Train loss: 1.182e-03	Val loss: 1.327e-03
Epoch: 106	Train loss: 1.343e-03	Val loss: 1.357e-03
Epoch: 107	Train loss: 1.270e-03	Val loss: 3.323e-03
Epoch: 108	Train loss: 1.340e-03	Val loss: 1.868e-03
Epoch: 109	Train loss: 1.246e-03	Val loss: 1.486e-03
Epoch: 110	Train loss: 1.354e-03	Val loss: 2.217e-03
Epoch: 111	Train loss: 1.186e-03	Val loss: 2.672e-03
Epoch: 112	Train loss: 1.311e-03	Val loss: 3.377e-03
Epoch: 113	Train loss: 1.251e-03	Val loss: 1.382e-03
Epoch: 114	Train loss: 1.222e-03	Val loss: 1.264e-03
Epoch: 115	Train loss: 1.338e-03	Val loss: 2.569e-03
Epoch: 116	Train loss: 1.161e-03	Val loss: 1.322e-03
Epoch: 117	Train loss: 1.271e-03	Val loss: 1.577e-03
Epoch: 118	Train loss: 1.293e-03	Val loss: 1.232e-03
Epoch: 119	Train loss: 1.332e-03	Val loss: 2.063e-03
Epoch: 120	Train loss: 1.160e-03	Val loss: 1.748e-03
Epoch: 121	Train loss: 1.196e-03	Val loss: 1.267e-03
Epoch: 122	Train loss: 1.180e-03	Val loss: 1.398e-03
Epoch: 123	Train loss: 1.229e-03	Val loss: 1.947e-03
Epoch: 124	Train loss: 1.281e-03	Val loss: 1.229e-03
Epoch: 125	Train loss: 1.261e-03	Val loss: 1.294e-03
Epoch: 126	Train loss: 1.132e-03	Val loss: 2.061e-03
Epoch: 127	Train loss: 1.251e-03	Val loss: 2.147e-03
Epoch: 128	Train loss: 1.278e-03	Val loss: 1.134e-03
Epoch: 129	Train loss: 1.083e-03	Val loss: 1.347e-03
Epoch: 130	Train loss: 1.219e-03	Val loss: 1.182e-03
Epoch: 131	Train loss: 1.160e-03	Val loss: 1.729e-03
Epoch: 132	Train loss: 1.093e-03	Val loss: 2.051e-03
Epoch: 133	Train loss: 1.143e-03	Val loss: 1.882e-03
Epoch: 134	Train loss: 1.185e-03	Val loss: 1.401e-03
Epoch: 135	Train loss: 1.123e-03	Val loss: 1.655e-03
Epoch: 136	Train loss: 1.182e-03	Val loss: 2.578e-03
