Thu Nov 28 07:33:43 2024       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 565.57.01              Driver Version: 565.57.01      CUDA Version: 12.7     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  Tesla V100-PCIE-32GB           On  |   00000000:58:00.0 Off |                    0 |
| N/A   40C    P0             29W /  250W |       1MiB /  32768MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
cuda
Tesla V100-PCIE-32GB
Epoch: 80	Train loss: 1.465e-03	Val loss: 1.550e-03
Epoch: 81	Train loss: 1.404e-03	Val loss: 1.760e-03
Epoch: 82	Train loss: 1.488e-03	Val loss: 1.503e-03
Epoch: 83	Train loss: 1.366e-03	Val loss: 1.626e-03
Epoch: 84	Train loss: 1.443e-03	Val loss: 1.380e-03
Epoch: 85	Train loss: 1.279e-03	Val loss: 1.671e-03
Epoch: 86	Train loss: 1.372e-03	Val loss: 1.534e-03
Epoch: 87	Train loss: 1.374e-03	Val loss: 1.583e-03
Epoch: 88	Train loss: 1.347e-03	Val loss: 1.706e-03
Epoch: 89	Train loss: 1.382e-03	Val loss: 3.418e-03
Epoch: 90	Train loss: 1.315e-03	Val loss: 1.746e-03
Epoch: 91	Train loss: 1.353e-03	Val loss: 1.680e-03
Epoch: 92	Train loss: 1.327e-03	Val loss: 1.595e-03
Epoch: 93	Train loss: 1.340e-03	Val loss: 1.367e-03
Epoch: 94	Train loss: 1.473e-03	Val loss: 1.673e-03
Epoch: 95	Train loss: 1.214e-03	Val loss: 1.575e-03
Epoch: 96	Train loss: 1.325e-03	Val loss: 1.279e-03
Epoch: 97	Train loss: 1.305e-03	Val loss: 1.518e-03
Epoch: 98	Train loss: 1.333e-03	Val loss: 1.494e-03
Epoch: 99	Train loss: 1.128e-03	Val loss: 1.564e-03
Epoch: 100	Train loss: 1.377e-03	Val loss: 2.268e-03
Epoch: 101	Train loss: 1.316e-03	Val loss: 1.231e-03
Epoch: 102	Train loss: 1.269e-03	Val loss: 1.599e-03
Epoch: 103	Train loss: 1.179e-03	Val loss: 1.601e-03
Epoch: 104	Train loss: 1.355e-03	Val loss: 1.266e-03
Epoch: 105	Train loss: 1.128e-03	Val loss: 1.927e-03
Epoch: 106	Train loss: 1.248e-03	Val loss: 2.555e-03
Epoch: 107	Train loss: 1.266e-03	Val loss: 1.552e-03
Epoch: 108	Train loss: 1.198e-03	Val loss: 2.783e-03
Epoch: 109	Train loss: 1.346e-03	Val loss: 2.009e-03
Epoch: 110	Train loss: 1.091e-03	Val loss: 3.806e-03
Epoch: 111	Train loss: 1.323e-03	Val loss: 1.180e-03
Epoch: 112	Train loss: 1.236e-03	Val loss: 4.714e-03
Epoch: 113	Train loss: 1.157e-03	Val loss: 1.382e-03
Epoch: 114	Train loss: 1.271e-03	Val loss: 1.099e-03
Epoch: 115	Train loss: 1.067e-03	Val loss: 1.277e-03
Epoch: 116	Train loss: 1.247e-03	Val loss: 1.760e-03
Epoch: 117	Train loss: 1.165e-03	Val loss: 1.391e-03
Epoch: 118	Train loss: 1.139e-03	Val loss: 1.093e-03
Epoch: 119	Train loss: 1.164e-03	Val loss: 1.444e-03
Epoch: 120	Train loss: 1.155e-03	Val loss: 1.226e-03
Epoch: 121	Train loss: 1.150e-03	Val loss: 1.171e-03
Epoch: 122	Train loss: 1.181e-03	Val loss: 2.437e-03
Epoch: 123	Train loss: 1.154e-03	Val loss: 3.028e-03
Epoch: 124	Train loss: 1.151e-03	Val loss: 1.918e-03
Epoch: 125	Train loss: 1.114e-03	Val loss: 1.477e-03
Epoch: 126	Train loss: 1.170e-03	Val loss: 1.551e-03
Epoch: 127	Train loss: 1.124e-03	Val loss: 1.609e-03
Epoch: 128	Train loss: 1.095e-03	Val loss: 1.595e-03
Epoch: 129	Train loss: 1.100e-03	Val loss: 2.367e-03
Epoch: 130	Train loss: 1.190e-03	Val loss: 1.373e-03
Epoch: 131	Train loss: 1.066e-03	Val loss: 3.750e-03
Epoch: 132	Train loss: 1.132e-03	Val loss: 3.816e-03
Epoch: 133	Train loss: 1.186e-03	Val loss: 1.085e-03
Epoch: 134	Train loss: 1.084e-03	Val loss: 1.338e-03
Epoch: 135	Train loss: 1.057e-03	Val loss: 2.771e-03
Epoch: 136	Train loss: 1.125e-03	Val loss: 2.980e-03
Epoch: 137	Train loss: 9.848e-04	Val loss: 1.454e-03
Epoch: 138	Train loss: 1.125e-03	Val loss: 1.403e-03
Epoch: 139	Train loss: 1.046e-03	Val loss: 1.151e-03
Epoch: 140	Train loss: 1.039e-03	Val loss: 1.297e-03
Epoch: 141	Train loss: 9.889e-04	Val loss: 1.133e-03
Epoch: 142	Train loss: 1.055e-03	Val loss: 1.449e-03
Epoch: 143	Train loss: 1.070e-03	Val loss: 1.427e-03
Epoch: 144	Train loss: 1.081e-03	Val loss: 1.591e-03
Epoch: 145	Train loss: 9.912e-04	Val loss: 1.562e-03
Epoch: 146	Train loss: 1.017e-03	Val loss: 1.271e-03
Epoch: 147	Train loss: 1.007e-03	Val loss: 4.897e-03
Epoch: 148	Train loss: 1.053e-03	Val loss: 1.833e-03
Epoch: 149	Train loss: 1.082e-03	Val loss: 2.085e-03
Epoch: 150	Train loss: 1.061e-03	Val loss: 1.915e-03
Epoch: 151	Train loss: 1.021e-03	Val loss: 1.723e-03
Epoch: 152	Train loss: 1.010e-03	Val loss: 1.298e-03
Epoch: 153	Train loss: 9.631e-04	Val loss: 1.524e-03
Epoch: 154	Train loss: 1.147e-03	Val loss: 1.731e-03
Epoch: 155	Train loss: 9.876e-04	Val loss: 1.237e-03
Epoch: 156	Train loss: 9.931e-04	Val loss: 1.270e-03
Epoch: 157	Train loss: 1.031e-03	Val loss: 1.357e-03
Epoch: 158	Train loss: 9.457e-04	Val loss: 1.067e-03
Epoch: 159	Train loss: 1.151e-03	Val loss: 3.521e-03
Epoch: 160	Train loss: 9.519e-04	Val loss: 1.322e-03
Epoch: 161	Train loss: 9.181e-04	Val loss: 1.824e-03
Epoch: 162	Train loss: 9.646e-04	Val loss: 1.091e-03
Epoch: 163	Train loss: 1.135e-03	Val loss: 2.547e-03
Epoch: 164	Train loss: 9.778e-04	Val loss: 2.302e-03
Epoch: 165	Train loss: 1.040e-03	Val loss: 1.266e-03
Epoch: 166	Train loss: 9.523e-04	Val loss: 1.282e-03
Epoch: 167	Train loss: 9.995e-04	Val loss: 1.003e-03
Epoch: 168	Train loss: 9.685e-04	Val loss: 3.763e-03
Epoch: 169	Train loss: 9.958e-04	Val loss: 1.191e-03
Epoch: 170	Train loss: 9.795e-04	Val loss: 1.353e-03
Epoch: 171	Train loss: 9.286e-04	Val loss: 1.494e-03
Epoch: 172	Train loss: 9.839e-04	Val loss: 1.029e-03
Epoch: 173	Train loss: 9.798e-04	Val loss: 1.678e-03
Epoch: 174	Train loss: 9.407e-04	Val loss: 1.369e-03
Epoch: 175	Train loss: 9.857e-04	Val loss: 1.102e-03
Epoch: 176	Train loss: 1.015e-03	Val loss: 1.661e-03
Epoch: 177	Train loss: 8.721e-04	Val loss: 1.155e-03
Epoch: 178	Train loss: 1.019e-03	Val loss: 1.397e-03
Epoch: 179	Train loss: 1.040e-03	Val loss: 1.149e-03
Epoch: 180	Train loss: 9.336e-04	Val loss: 1.233e-03
Epoch: 181	Train loss: 9.003e-04	Val loss: 1.015e-03
Epoch: 182	Train loss: 8.665e-04	Val loss: 2.821e-03
Epoch: 183	Train loss: 9.151e-04	Val loss: 1.450e-03
Epoch: 184	Train loss: 1.012e-03	Val loss: 1.265e-03
Epoch: 185	Train loss: 8.942e-04	Val loss: 1.335e-03
